"date","geo","time","gprop","category","name","Travel","Holiday","Labor","Unemployment","Loan","Washing_machine","Fridge","BMW","Mercedes","Fashion","year","month"
"2019-06-02","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,25,49,0,14,0,38,0,0,0,2019,6
"2019-06-09","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,22,0,0,0,0,7,23,0,2019,6
"2019-06-16","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",44,0,0,0,0,0,0,0,59,0,2019,6
"2019-06-23","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,9,0,0,49,0,28,0,36,42,2019,6
"2019-06-30","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,21,27,28,0,0,0,11,0,0,2019,6
"2019-07-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,0,0,0,38,2019,7
"2019-07-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",69,7,0,0,0,0,0,0,0,29,2019,7
"2019-07-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,0,0,20,0,78,7,0,31,2019,7
"2019-07-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",35,40,0,0,0,0,0,0,0,0,2019,7
"2019-08-04","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,46,49,12,26,0,2019,8
"2019-08-11","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,8,0,0,0,42,0,14,0,56,2019,8
"2019-08-18","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,100,0,0,80,25,63,28,2019,8
"2019-08-25","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",27,16,0,0,0,28,41,63,0,0,2019,8
"2019-09-01","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",38,15,0,0,60,0,0,100,0,0,2019,9
"2019-09-08","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",47,6,25,0,100,0,37,77,0,0,2019,9
"2019-09-15","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,56,0,36,59,37,92,30,0,2019,9
"2019-09-22","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",22,15,27,0,57,0,0,62,0,0,2019,9
"2019-09-29","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",31,13,0,0,0,59,27,10,26,55,2019,9
"2019-10-06","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",22,12,0,0,0,53,0,10,0,0,2019,10
"2019-10-13","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",33,0,0,38,0,0,0,11,0,0,2019,10
"2019-10-20","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,25,0,0,0,20,0,7,0,68,2019,10
"2019-10-27","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,17,33,11,43,0,11,26,0,2019,10
"2019-11-03","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,19,25,0,0,40,0,6,41,67,2019,11
"2019-11-10","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",25,9,0,0,0,32,0,0,0,0,2019,11
"2019-11-17","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",18,25,19,0,0,0,31,6,0,59,2019,11
"2019-11-24","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,22,41,0,76,0,6,0,21,2019,11
"2019-12-01","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,26,20,18,0,0,0,6,0,19,2019,12
"2019-12-08","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,14,0,0,0,28,0,12,0,0,2019,12
"2019-12-15","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,20,0,0,16,0,23,7,53,80,2019,12
"2019-12-22","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",32,16,23,0,0,0,82,7,0,0,2019,12
"2019-12-29","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,18,18,0,0,0,39,10,0,34,2019,12
"2020-01-05","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,17,20,0,0,0,0,13,0,70,2020,1
"2020-01-12","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",37,22,15,0,0,33,0,4,37,18,2020,1
"2020-01-19","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,29,22,0,0,0,0,12,0,20,2020,1
"2020-01-26","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,83,36,7,0,0,2020,1
"2020-02-02","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,0,0,0,44,13,31,36,2020,2
"2020-02-09","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,17,0,22,25,48,5,35,0,2020,2
"2020-02-16","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,15,0,0,0,11,19,0,2020,2
"2020-02-23","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,37,11,0,0,0,0,0,2020,2
"2020-03-01","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,0,0,41,5,0,30,2020,3
"2020-03-08","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,11,0,64,0,0,43,12,0,0,2020,3
"2020-03-15","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,8,0,16,0,0,0,3,0,0,2020,3
"2020-03-22","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,14,0,0,9,73,0,9,20,14,2020,3
"2020-03-29","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,11,0,0,11,0,0,3,44,0,2020,3
"2020-04-05","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",37,22,11,0,0,0,0,10,0,0,2020,4
"2020-04-12","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,22,0,30,0,29,0,7,0,0,2020,4
"2020-04-19","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,13,0,0,0,0,0,0,0,0,2020,4
"2020-04-26","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",14,18,13,0,0,22,0,10,21,16,2020,4
"2020-05-03","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",47,9,38,0,0,0,0,3,0,0,2020,5
"2020-05-10","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",13,12,17,0,10,40,61,5,0,62,2020,5
"2020-05-17","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,12,0,0,0,17,0,9,0,0,2020,5
"2020-05-24","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",31,14,15,0,0,0,0,3,0,27,2020,5
"2020-05-31","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",16,23,20,0,0,59,0,8,0,24,2020,5
"2020-06-07","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,0,0,14,0,22,0,0,0,2020,6
"2020-06-14","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,10,0,0,0,24,24,11,0,34,2020,6
"2020-06-21","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,0,0,0,22,0,21,5,0,23,2020,6
"2020-06-28","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,7,0,42,0,26,49,0,22,39,2020,6
"2020-07-05","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,26,23,0,10,0,0,0,0,17,2020,7
"2020-07-12","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",61,18,0,0,0,0,69,3,0,0,2020,7
"2020-07-19","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",26,20,0,0,0,0,33,7,0,0,2020,7
"2020-07-26","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",23,26,0,41,0,19,30,0,29,0,2020,7
"2020-08-02","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",61,22,0,32,0,23,47,11,26,26,2020,8
"2020-08-09","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",22,21,25,0,0,0,28,12,49,71,2020,8
"2020-08-16","MD-BA","2018-01-01 2022-12-31","web",0,"Balti",0,22,0,0,0,62,33,12,30,0,2020,8
