Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Moldova,MDA,"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",SE.TER.CUAT.ST.MA.ZS,,28.92716026,29.10773087,27.78750992,,,28.21582985,29.01581001,,
Moldova,MDA,"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.MS.FE.ZS,,0.605650008,0.765070021,1.150740027,,,1.301190019,1.735329986,,
Moldova,MDA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,18.86181068,19.03648949,20.08584023,19.37272072,,,20.12303925,20.05253983,,
Moldova,MDA,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,,,,,,,,,,
Moldova,MDA,"Secondary education, teachers",SE.SEC.TCHR,28662,27142,26213,24968,24599,22931,22942,21841,21374,20867
Moldova,MDA,"Trained teachers in upper secondary education, female (% of female teachers)",SE.SEC.TCAQ.UP.FE.ZS,,,,,96.6500473,99.17801666,99.35855865,100,100,100
Moldova,MDA,"Trained teachers in lower secondary education, female (% of female teachers)",SE.SEC.TCAQ.LO.FE.ZS,,,,98.82012177,94.77559662,98.69223022,98.93824768,100,100,100
Moldova,MDA,"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS,97.82877,98.03227,97.23079,97.75458,98.2335,98.69173,,,,
Moldova,MDA,"School enrollment, secondary (% net)",SE.SEC.NENR,77.909,77.19155,76.86421,76.40056,76.59364,77.85475,77.95594,,,
Moldova,MDA,"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS,41.18978,41.66438,41.51439,40.36147,40.36837,39.35319,38.64485,,,
Moldova,MDA,"Pupil-teacher ratio, lower secondary",SE.SEC.ENRL.LO.TC.ZS,8.91707,9.08194,9.48504,9.22554,9.07259,9.60204,9.77263,,,
Moldova,MDA,"Secondary education, pupils",SE.SEC.ENRL,274365,260185,245773,233260,226960,227263,226281,224148,223176,227161
Moldova,MDA,"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.UP.FE.ZS,72.13488007,71.729599,73.0030899,73.51622009,,,73.99986267,73.50087738,,
Moldova,MDA,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,95.03304291,95.49427795,96.17194366,96.37618256,,,97.28971863,96.95733643,,
Moldova,MDA,"Lower secondary completion rate, male (% of relevant age group)",SE.SEC.CMPT.LO.MA.ZS,,,102.223732,103.612442,101.2951126,105.9061508,107.8105164,109.2246094,108.4191437,108.4017029
Moldova,MDA,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,,,,,,,,,,
Moldova,MDA,"Children out of school, primary",SE.PRM.UNER,33712,30691,267,595,818,878,880,2578,1036,330
Moldova,MDA,"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS,97.72492981,97.69721222,98.11779022,97.75705719,98.0917511,98.07106781,98.18390656,98.15982056,98.1921463,98.08682251
Moldova,MDA,"Trained teachers in primary education, female (% of female teachers)",SE.PRM.TCAQ.FE.ZS,,,93.70050049,100,99.20124054,99.18477631,99.11424255,100,100,100
Moldova,MDA,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,94.61746979,95.06011963,94.75892639,94.83479309,94.99443054,94.3400116,93.83409119,93.20877838,95.74056244,
Moldova,MDA,"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS,,,,,,,,,,
Moldova,MDA,"Over-age students, primary, male (% of male enrollment)",SE.PRM.OENR.MA.ZS,2.66975,2.58092,2.20561,2.06617,1.80532,1.88577,1.58873,,,
Moldova,MDA,"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS,74.36053,73.53797,72.23248,72.7922,73.41261,75.63826,74.81043,,,
Moldova,MDA,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",SE.PRM.GINT.ZS,95.72447,94.60953,94.90661,94.38187,93.10244,92.35008,92.78051,,,
Moldova,MDA,"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE,,,107.2156677,105.1121674,103.7102737,102.9105072,102.2800064,102.2813492,105.2715683,107.2234497
Moldova,MDA,"Primary education, pupils",SE.PRM.ENRL,138095,138282,138420,138536,137845,139335,140141,139612,139179,137332
Moldova,MDA,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,98.79736328,98.87741852,99.15476227,99.3496933,,,99.3793869,99.33576202,,
Moldova,MDA,Primary school starting age (years),SE.PRM.AGES,7,7,7,7,7,7,7,7,7,7
Moldova,MDA,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,72.72000122,,89.51860046,91.62016296,92.98095703,95.27523041,94.89240265,94.97894287,94.71292877,90.66233063
Moldova,MDA,"Preprimary education, duration (years)",SE.PRE.DURS,,6,6,6,6,6,6,6,6,6
Moldova,MDA,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,,,0.995949984,0.98943001,0.98763001,0.988210022,0.983439982,0.953459978,0.982169986,0.989189982
Moldova,MDA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,,,99.14041901,,,,,,,99.5
Moldova,MDA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,99.83999634,,99.81552887,,,,,,,99.69999695
Moldova,MDA,Coverage of social insurance programs in 3rd quintile (% of population),per_si_allsi.cov_q3_tot,45.23616018,45.21752358,,,,,50.44537866,,,
Moldova,MDA,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,15.22075059,14.23597164,,,,,13.72589526,,,
Moldova,MDA,Coverage of social safety net programs in 3rd quintile (% of population),per_sa_allsa.cov_q3_tot,28.35387008,22.06074276,,,,,32.15354755,,,
Moldova,MDA,Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),per_sa_allsa.ben_q1_tot,31.96081695,28.90631192,,,,,30.22767982,,,
Moldova,MDA,Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),per_lm_alllm.cov_q3_tot,1.660133132,1.331979239,,,,,1.09062102,,,
Moldova,MDA,Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),per_lm_alllm.ben_q1_tot,,,,,,,,,,
Moldova,MDA,"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD,543443.9778,427962.0051,496979.028,420122.5936,462518.3046,411221.5936,647490.0246,1037531.376,1466719.985,1302435.756
Moldova,MDA,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,688199.9969,,,,,,16482.94926,141457.1851,,
Moldova,MDA,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,,,,,,,,,,
Moldova,MDA,"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,,,,,,,,,,500000000
Moldova,MDA,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,86245042.3,28256147.6,105108523.7,101438145.6,169006725.4,134054572.4,47983409.1,28656089,191961637.3,167345016
Moldova,MDA,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,71252000,26798000,34451000,30215000,41310000,12402000,23841000,-272000,34866000,45251000
Moldova,MDA,"Net official flows from UN agencies, ILO (current US$)",DT.NFL.ILOG.CD,128757.8344,150595.3968,81289.99919,333059.9964,164939.9996,214440.003,799041.6288,1066730.022,1296545.982,1049900.055
Moldova,MDA,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,103500000,114497000,-118606000,-97884000,-54494000,213111000,126644000,93596000,80873000,517839000
Moldova,MDA,"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS,,,,,,,,,,40.26777553
Moldova,MDA,"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD,55136000,34542000,29409000,28439000,68215000,83769000,91389000,98839000,111954000,112039000
