regcode,date,Labor,Unemployment,Investment,Loan,Economy,Interest_rate,Inflation,Bankruptcy,Export,Mortgage_loan,Baggage,Holiday,BMW,Mercedes,McDonalds,Calvin_Klein,Gucci,Emigration,Washing_machine,Fridge,Sony,apple,Fitness,Recruitment,Travel,Savings,Computer_security,Unemployment_benefits,Fashion,MBA_degree
UA-07,8/1/2013,23,0,0,20,37,0,21,28,45,0,0,13,38,41,10,0,0,,37,28,10,50,44,0,43,59,39,93,73,0
UA-07,9/1/2013,30,0,0,23,11,0,0,0,0,0,0,21,46,52,16,0,0,,32,23,22,46,0,22,56,0,32,0,44,0
UA-07,10/1/2013,46,40,10,27,27,0,20,29,0,0,0,11,37,42,8,0,25,,67,36,31,44,22,0,36,0,43,0,45,0
UA-07,11/1/2013,38,65,0,0,45,0,0,0,49,0,0,9,47,44,0,0,0,,0,36,18,25,30,0,28,0,17,0,41,18
UA-07,12/1/2013,34,28,26,31,22,0,0,0,0,0,0,15,28,51,14,0,0,,39,32,17,36,26,0,33,39,13,90,53,0
UA-07,1/1/2014,36,0,22,14,23,55,18,0,0,0,0,11,36,43,5,0,15,,19,24,24,30,37,0,47,0,0,0,43,13
UA-07,2/1/2014,43,23,11,0,28,0,34,0,22,0,0,7,31,35,0,0,0,,20,39,19,38,0,0,19,0,14,0,54,23
UA-07,3/1/2014,25,0,26,29,29,0,15,23,0,0,0,8,31,24,0,0,0,,62,17,0,35,28,0,22,0,0,0,53,0
UA-07,4/1/2014,40,35,16,30,34,0,18,39,44,0,0,11,41,37,5,0,0,,34,34,12,50,51,5,22,0,0,0,48,0
UA-07,5/1/2014,39,26,13,37,28,0,57,0,49,0,0,12,25,34,3,19,0,,25,45,17,33,38,8,28,0,0,0,31,12
UA-07,6/1/2014,29,0,0,0,13,0,10,0,0,0,0,11,20,27,0,0,0,,31,41,18,20,23,0,44,0,0,0,25,0
